lat,lon,effort_kwh,haul_count
59.0,3.35,839077.9166666667,34
60.0,3.2,835320.2500000001,52
75.85,34.75,834955.55,2
71.3,16.85,834008.1166666666,34
63.1,5.35,833594.0000000002,147
71.15,18.55,833302.85,47
60.05,3.2,833301.2333333333,41
59.1,3.35,828367.7999999999,35
71.1,17.1,827752.2333333335,37
70.55,19.25,827326.85,36
60.05,3.15,823870.1833333333,31
60.0,3.15,821477.2166666667,40
57.6,6.85,817162.8666666669,81
71.95,16.0,817053.1166666667,30
71.15,17.05,811572.7999999999,31
76.35,34.05,811220.4166666666,5
75.95,34.55,807983.3333333333,2
75.85,33.6,804977.85,1
74.55,34.55,804048.0,1
76.0,34.55,802733.05,2
71.45,16.7,800735.4,31
76.25,34.5,799546.3333333334,5
71.2,21.9,799104.1833333333,44
58.7,9.85,799060.4999999998,91
76.5,34.75,798895.8333333334,2
76.1,34.5,797452.0,10
71.45,16.75,796492.2833333332,30
62.7,4.05,795742.5500000002,21
76.1,33.6,795528.05,3
71.9,16.2,794879.8833333333,27
59.25,3.35,793578.5499999999,41
66.25,6.5,793545.8333333334,22
58.5,5.55,793388.0833333335,85
58.4,3.95,793382.3333333336,52
76.3,33.4,793227.8333333334,5
61.35,1.9,790388.2166666667,50
57.55,6.85,788575.1166666667,82
75.5,32.15,782868.5333333333,6
57.9,5.45,782794.5,46
57.8,5.7,782066.3666666666,56
57.2,4.65,781830.5166666666,31
75.85,33.9,781172.55,1
58.9,3.45,781136.9166666666,47
71.25,16.85,779091.0500000002,32
76.5,34.15,777075.8333333334,3
59.55,3.5,776191.9999999999,17
58.9,3.55,774848.6666666666,52
70.7,17.25,774784.2666666666,34
71.35,16.8,774390.5,29
57.2,4.7,774030.0166666667,32
59.65,3.25,771613.8666666666,48
71.2,25.1,771606.3833333332,312
58.2,4.55,771478.0166666666,30
76.3,34.4,771368.1333333334,9
58.5,3.75,770944.7666666666,25
66.2,6.4,768174.4666666667,14
76.45,33.55,767874.0,3
66.25,6.45,767861.8166666668,25
68.55,12.05,764936.7333333334,35
58.7,3.6,763842.8499999999,36
75.95,32.3,763017.1333333334,6
57.2,5.6,762792.1333333332,22
75.5,33.5,761970.8333333334,3
69.95,16.7,760287.7333333335,119
57.25,4.9,758656.9166666667,30
71.65,16.55,758595.3166666667,30
69.95,16.8,756958.0666666665,136
59.55,3.3,756237.1,38
57.25,4.6,755998.65,34
57.5,7.3,755961.4000000001,77
62.25,1.15,754867.6,44
76.2,33.0,754332.8333333334,4
76.45,32.85,753337.5,2
57.85,5.55,753161.4666666664,44
71.95,16.05,751435.1333333333,27
69.3,15.05,750322.0999999999,250
75.8,33.55,749475.15,2
69.95,16.75,747757.5833333334,134
57.5,7.25,747753.8166666669,86
75.65,33.35,746884.25,7
71.9,16.0,742453.2833333332,26
61.35,2.0,739786.8666666666,37
59.95,3.15,739014.8166666667,33
69.4,15.9,735671.7000000002,365
71.85,16.0,734843.3999999999,27
59.55,3.25,734340.1333333334,32
57.75,5.95,734297.3499999999,66
57.7,6.2,734081.6666666666,50
76.35,34.5,733408.9500000001,10
75.9,33.85,728972.3333333333,2
58.05,8.0,727532.8333333335,80
58.1,4.65,724780.1166666667,34
61.35,1.95,722523.1833333335,32
57.6,7.95,722215.3833333335,71
57.2,5.75,722152.7166666668,24
76.15,34.35,721141.8666666666,4
71.75,16.2,719326.6999999998,29
75.7,33.75,718412.5,5
58.5,10.45,717604.0,72
60.15,3.25,716774.3333333334,27
74.45,34.8,716464.0,1
58.95,3.6,716427.7833333334,19
58.0,7.45,715837.5833333333,70
57.8,5.75,715753.4,55
57.15,5.9,715707.7166666666,25
74.65,34.9,715239.3333333334,3
59.5,3.25,713233.6333333334,38
70.85,22.1,712908.7166666667,114
62.65,3.9,710985.5333333334,22
61.2,2.15,710961.9166666666,30
62.6,3.85,710945.3999999999,24
58.85,3.6,710108.2166666666,25
58.95,3.5,709328.5500000002,27
70.3,17.3,708444.0666666667,27
63.7,5.75,707957.35,39
57.15,5.95,707586.9333333332,22
76.05,34.6,707300.0000000001,7
71.7,16.45,707019.7499999999,28
59.15,3.3,705754.3499999999,32
62.65,4.05,705722.2166666666,37
67.0,8.35,705307.0333333332,31
57.55,7.45,704835.35,68
58.05,5.25,704623.0499999999,76
60.25,3.15,704491.6666666667,35
71.55,16.65,704454.8,25
75.8,32.75,703852.1666666667,3
76.35,33.7,703154.1,4
76.15,34.2,702493.7,15
71.15,16.95,700770.8333333334,26
71.15,21.75,700283.1333333332,42
58.45,4.05,699798.3999999999,28
57.6,7.65,698906.2999999999,64
58.45,5.65,698870.4333333333,75
75.6,33.15,698460.8333333333,2
58.2,4.6,698230.95,40
57.2,4.85,696572.0333333333,32
57.55,6.9,696536.0666666668,75
59.6,3.5,691528.25,20
74.45,34.65,690742.6666666666,3
57.6,7.45,689418.4666666667,60
58.6,3.7,686544.3833333334,43
75.75,33.6,686055.0,3
71.1,22.8,684937.4666666666,31
56.6,4.2,683152.6333333333,20
71.1,17.0,683082.4166666666,27
59.55,3.2,682881.1666666666,26
59.8,3.15,682585.1833333335,30
57.95,5.55,678523.4166666667,37
56.65,3.6,678171.5666666667,18
63.15,5.45,677401.8333333335,73
69.65,19.0,676667.3666666667,20
62.5,5.05,674763.9499999998,69
62.65,3.95,673917.3166666667,32
58.25,4.4,673497.6833333332,40
57.4,6.0,672694.0666666667,26
64.6,8.85,671803.4166666666,40
71.2,21.85,671545.2666666666,59
58.35,3.8,670840.8333333333,35
69.7,16.4,668526.3000000002,129
76.4,34.25,666417.65,5
57.5,7.35,664898.1499999997,68
62.25,1.2,664615.8333333334,19
58.65,3.6,663911.8999999999,34
70.85,29.1,662027.4833333333,143
70.9,17.2,659359.4166666669,27
76.3,33.8,659058.3333333334,3
56.65,4.2,657957.7666666666,19
61.3,2.0,656864.7666666667,31
76.3,34.15,656823.0,4
58.6,3.75,656479.5666666664,26
57.15,5.85,655679.0000000001,32
58.15,4.6,655495.6833333332,36
61.15,2.25,655436.6666666666,31
56.65,4.1,655368.5,21
71.8,16.05,655265.3333333334,26
75.75,33.35,654185.35,3
57.85,5.8,653742.05,54
64.6,9.0,652397.9,49
64.6,8.75,652096.0833333334,26
71.8,16.1,651917.9666666667,26
70.65,17.25,651508.4333333333,31
75.85,33.7,651493.45,4
58.2,4.5,651368.9,27
75.8,33.35,651037.5,2
71.6,16.55,649092.4500000001,26
58.1,5.05,648835.4500000001,47
58.35,4.2,648600.4833333333,33
57.2,5.35,648492.9333333332,34
60.35,3.1,647648.15,29
58.25,4.45,647149.5,35
70.75,30.25,646980.6833333333,193
70.45,17.25,645864.4,26
71.75,16.3,645295.4666666666,30
71.05,23.25,644686.3499999996,297
58.3,4.25,644610.1666666665,27
71.3,16.9,644517.4,26
58.15,4.75,644104.9000000001,42
56.65,4.15,642447.7,20
74.7,34.9,641583.3333333334,2
67.05,8.4,641125.4833333334,32
57.6,7.6,640866.6166666667,56
73.85,17.8,640339.5666666667,23
57.6,7.4,639737.0166666666,65
56.65,4.35,639657.2166666667,20
71.9,15.9,639012.5,20
62.55,5.1,638506.4166666667,57
61.15,2.3,638248.25,24
70.45,17.2,637037.2666666668,26
76.1,34.75,636968.8333333333,11
57.8,5.8,636612.4500000001,42
76.3,33.45,634821.5,7
58.5,9.1,634221.2000000001,76
71.0,22.45,634169.6333333333,47
76.0,34.45,629276.7999999999,4
76.0,34.15,629096.3333333335,4
62.2,1.2,628626.7,19
57.75,6.05,628506.8333333334,65
70.6,17.3,628419.7166666667,24
57.5,7.2,626749.5333333332,67
73.9,20.05,626656.0666666667,19
70.8,19.15,625817.0666666665,23
72.15,16.05,625457.1166666666,22
57.6,7.5,625243.1000000001,59
57.6,6.8,625067.8833333334,63
74.5,34.5,623914.6666666667,1
59.5,3.5,622971.3333333333,20
69.9,16.7,621973.15,60
58.6,9.55,621826.3333333333,58
60.1,3.2,621622.6833333333,38
70.1,17.25,621480.9,21
73.15,28.3,621402.1,21
58.6,3.8,621146.25,20
58.2,4.65,620694.5,32
57.85,5.75,620679.6333333332,39
75.95,33.95,619635.1500000001,3
71.2,25.15,619260.5166666665,309
60.3,3.3,618808.4,31
62.55,3.7,618307.7666666667,24
71.8,16.2,618103.1666666665,25
71.15,27.3,617575.4999999997,213
75.7,33.55,617190.0,5
70.65,20.0,616764.7,26
71.7,16.5,616679.4166666667,22
71.05,22.55,616576.5666666667,26
61.1,2.35,616512.9666666667,30
76.0,32.8,616001.6000000001,4
57.6,7.7,615605.0666666667,58
69.2,14.55,615020.6499999999,304
76.35,34.7,613768.6666666666,3
69.7,16.65,613480.8,168
60.0,3.25,612674.2833333333,31
59.6,3.25,612520.7666666667,36
70.75,30.2,612275.8166666669,230
69.85,17.75,611362.1833333335,101
71.1,22.85,611029.0333333332,26
61.55,1.65,610505.9,33
72.0,16.0,610491.6,20
74.25,22.25,610129.0833333333,25
60.65,3.0,610026.9666666667,25
57.65,3.95,609478.5333333333,22
57.9,5.5,608277.15,43
60.15,3.15,608258.0,26
76.2,32.0,607165.5,3
60.5,3.1,605966.9666666667,31
57.55,7.35,605734.6833333336,55
69.9,17.25,604169.4166666666,29
64.6,9.05,603699.4833333333,43
74.0,18.6,603599.9666666666,26
71.85,16.1,601767.4666666667,24
58.4,4.05,601625.7833333336,43
57.6,6.95,600076.5666666665,53
76.25,34.95,599872.9,9
57.25,5.55,599092.9500000001,20
70.75,17.4,598255.9833333334,19
58.5,5.4,597662.6666666666,55
58.4,5.65,597512.1833333333,53
70.5,17.2,596381.9333333332,32
58.15,4.95,595563.2,49
57.65,4.2,595492.75,28
76.1,34.25,595021.3666666667,12
58.0,8.15,594759.8166666667,78
59.0,3.45,593846.4,21
58.85,3.45,593768.6166666665,32
76.4,34.4,593633.7,4
57.6,6.9,593597.8166666667,58
62.6,3.55,592435.5,19
57.85,5.7,592249.5,33
71.85,16.05,591156.6166666667,23
75.9,34.8,591133.8333333334,1
70.65,21.7,591084.3499999999,83
71.6,16.6,590891.5,23
70.95,29.15,590209.8666666666,243
71.2,21.8,590131.1333333334,43
57.8,5.95,590005.2,48
76.45,34.45,589642.6666666666,1
74.0,18.55,589387.0333333334,19
69.5,15.8,589262.7333333329,280
71.9,15.95,589064.3166666667,22
59.45,3.25,588844.6166666668,25
75.8,34.5,588648.6666666666,1
57.5,7.45,588149.2333333335,63
69.85,16.65,587611.4833333333,29
60.1,3.15,587600.4166666667,24
71.6,16.65,587584.8333333333,22
58.7,9.5,587333.5833333333,65
76.3,34.5,585304.8333333334,6
57.95,5.7,585248.9,50
70.5,18.0,585007.4666666668,22
57.55,7.6,584652.1000000001,58
70.7,17.2,584320.3666666667,22
57.55,7.55,583121.75,53
60.4,3.2,582988.3833333333,29
71.2,17.0,582801.9166666667,25
57.55,7.4,581866.5499999999,57
69.7,16.2,580746.6833333335,39
58.85,3.5,580716.1833333333,65
58.0,5.1,580495.5166666667,33
70.1,17.1,579998.1666666666,27
76.55,34.6,578833.3333333334,1
70.35,17.35,578048.3666666667,25
57.8,5.9,577328.2166666666,67
64.75,8.75,576759.1666666666,33
71.15,23.65,576678.8000000002,187
69.1,14.35,576322.8833333332,231
74.2,22.55,576163.7333333333,17
76.35,34.15,575794.0,2
59.4,3.35,575332.5833333334,34
60.0,3.3,575049.3833333334,22
75.45,32.2,574860.5333333333,2
72.05,16.0,574741.6,18
64.55,8.95,574455.5500000002,30
63.35,5.7,574128.4500000001,37
75.65,33.7,572365.55,4
73.9,18.35,572157.3166666667,17
69.15,14.45,571570.4833333333,366
74.2,22.35,571529.0333333333,18
58.8,10.1,571239.3333333334,58
76.15,34.75,570514.1666666667,2
60.2,3.2,570115.55,30
59.4,3.4,569215.7,25
70.55,17.35,568458.1666666666,18
58.1,4.95,568381.0833333334,46
57.05,6.2,567991.2833333334,21
58.0,5.95,567249.9833333334,49
61.2,2.25,567215.7833333333,22
76.2,34.95,567113.3333333334,5
71.4,16.7,567038.05,24
57.2,5.65,566853.75,21
61.95,1.4,566277.6000000001,10
57.05,6.15,566230.3666666667,19
69.6,15.95,566213.0333333332,63
70.65,17.3,563014.4666666668,24
71.5,16.75,562978.5000000001,19
75.95,34.7,562718.0,2
62.6,3.75,561830.7166666666,18
57.75,6.0,561763.1666666667,63
57.65,4.1,561665.8666666667,28
71.1,23.75,561187.933333333,255
71.7,16.25,561029.95,24
61.2,2.2,560153.2833333333,29
76.2,34.05,559874.2000000001,3
75.9,34.35,559512.0,2
61.4,1.85,558554.9833333333,38
63.1,5.4,557402.7999999999,95
72.05,16.1,557014.3333333333,19
60.5,3.2,556721.0000000001,44
60.35,3.3,555382.3333333335,27
70.9,17.3,554825.75,20
71.8,16.15,554138.35,28
60.05,3.25,552809.4666666668,25
61.45,1.75,552720.2000000001,65
72.0,32.95,552423.3666666667,44
75.55,33.3,552033.6000000001,1
59.25,3.25,549937.5000000001,17
57.65,4.25,549923.7166666668,22
57.7,6.15,548910.9166666667,64
57.6,8.1,548875.4333333335,54
73.8,17.6,548617.3333333334,20
58.0,5.4,548318.3166666668,52
71.2,16.85,547860.3,21
71.35,16.9,547661.7333333333,20
59.0,3.5,547228.8,27
57.9,5.7,547220.2166666668,48
58.0,5.05,546832.8833333333,29
62.6,3.65,546613.2833333333,20
61.05,2.55,546556.9833333333,33
58.9,3.6,546303.2,16
61.1,2.5,546098.95,38
57.6,6.75,545880.65,61
76.05,34.35,545848.5333333332,7
58.0,5.9,544203.3333333334,48
57.1,6.5,544192.25,16
57.95,5.3,544058.6999999998,26
58.15,4.9,543485.2000000001,49
57.6,8.0,543132.9166666665,57
72.0,16.05,542873.2333333333,20
57.95,5.35,541135.9166666666,39
59.1,3.45,540512.25,22
69.7,19.0,539854.5333333332,41
