country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,lon_dd,lat_dd
Norway,285105,Operational,6407/7-A-18 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73896.8720582,SINGLE WELL TEMPLATE; OIL PRODUCER,7.2009333,64.2713694
Norway,279533,Operational,HEIDRUN TEMPLATE,Subsea steel,Subsea,Equinor Energy AS,NO_6507/7,Crude Oil,,,,19950815,,345,158657.34078,MULTI WELL TEMPLATE; OIL PRODUCER,7.3176306,65.3257639
Norway,411296,Operational,GOLIAT H,,,Vår Energi ASA,,,,,,20160312,,387,51136.0734197,MULTI WELL TEMPLATE; WATER INJECTION,22.2881194,71.2865083
Norway,371216,Operational,ORMEN LANGE B,Subsea steel,Subsea,A/S Norske Shell,NO_6305/5,Natural Gas,,,,20070913,,850,93427.3011133,MULTI WELL TEMPLATE; GAS PRODUCER,5.3878944,63.5283694
Norway,287681,Operational,HEIDRUN STL-I,Other,Other,Equinor Energy AS,NO_6507/8,Crude Oil,,,,19951019,,343,155634.412195,LOADING SYSTEM; OFFLOADING,7.3815556,65.3205528
Norway,278861,Operational,ÅSGARD R,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Crude Oil,,,,19990520,,305,147310.767229,MULTI WELL TEMPLATE; GAS INJECTION,6.9019556,65.0334028
Norway,391213,Operational,6407/9-E-3 H,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,20080615,,293,54925.0968853,SINGLE WELL TEMPLATE; OIL PRODUCER,7.73205,64.26225
Norway,360533,Operational,KRISTIN R,Subsea steel,Subsea,Equinor Energy AS,NO_6406/2,Natural Gas,,,,20060122,,356,154277.367217,MULTI WELL TEMPLATE; GAS PRODUCER,6.4385528,64.9602111
Norway,411006,Operational,GOLIAT C,,,Vår Energi ASA,,,,,,20160312,,376,50391.5568069,MULTI WELL TEMPLATE; OIL PRODUCER,22.2787611,71.2775472
Norway,441904,Operational,AASTA HANSTEEN C,,,Equinor Energy AS,,,,,,20181217,,1260,217894.423434,SINGLE WELL TEMPLATE; GAS PRODUCER,6.8817278,67.0458278
Norway,284797,Operational,6407/7-A-12 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73832.5444227,SINGLE WELL TEMPLATE; OIL PRODUCER,7.2021889,64.2711333
Norway,410829,Operational,MARULK,,,Vår Energi ASA,,,,,,20120402,,368,174254.753203,MULTI WELL TEMPLATE; OIL PRODUCER,7.5436389,65.933475
