id,name,indexarea,year_t,q025,median,q975,displacement,imputations,data_singlearea
9,Bananslørsopp,wholeArea,2019,0.31119999999999998,0.39530999999999999,0.48787000000000003,-1.48E-3,0,0
9,Bananslørsopp,wholeArea,2024,0.30978,0.39256000000000002,0.48914000000000002,-1.47E-3,0,0
11,Begroing elver eutrofierings indeks,wholeArea,2010,0.79293000000000002,0.79613,0.79923999999999995,-1e-05,0,0
11,Begroing elver eutrofierings indeks,wholeArea,2014,0.78322000000000003,0.78530999999999995,0.78739999999999999,2e-05,0,0
11,Begroing elver eutrofierings indeks,wholeArea,2019,0.85445000000000004,0.85614000000000001,0.85768,0,0,0
11,Begroing elver eutrofierings indeks,wholeArea,2024,0.81530000000000002,0.81742000000000004,0.81976000000000004,2e-05,0,0
233,Begroing elver forsurings indeks,wholeArea,2014,0.88293999999999995,0.88600000000000001,0.88902999999999999,-5e-05,0,0
233,Begroing elver forsurings indeks,wholeArea,2019,0.79625999999999997,0.79962,0.80281999999999998,9e-05,0,0
233,Begroing elver forsurings indeks,wholeArea,2024,0.83877000000000002,0.84267000000000003,0.84660000000000002,-4e-05,0,0
12,Berggylte,wholeArea,1990,4.4479999999999999E-2,8.8980000000000004E-2,0.15059,1.4489999999999999E-2,0,0
12,Berggylte,wholeArea,2000,0.16381000000000001,0.28621000000000002,0.49042000000000002,-2.2749999999999999E-2,0,0
12,Berggylte,wholeArea,2010,0.35442000000000001,0.58647000000000005,0.72072000000000003,-1.6250000000000001E-2,0,0
12,Berggylte,wholeArea,2014,0.15045,0.37320999999999999,0.57386000000000004,-5.5460000000000002E-2,0,0
12,Berggylte,wholeArea,2019,0.34160000000000001,0.59006999999999998,0.74553000000000003,-2.6499999999999999E-2,0,0
12,Berggylte,wholeArea,2024,0.22369,0.376,0.53625,-1.9539999999999998E-2,0,0
399,Bjørkefink,wholeArea,2000,0.77422000000000002,0.83550999999999997,0.90642,9.3000000000000005E-4,0,0
399,Bjørkefink,wholeArea,2010,0.36706,0.41504000000000002,0.45810000000000001,4e-05,0,0
399,Bjørkefink,wholeArea,2014,0.38976,0.43667,0.47857,-1.3999999999999999E-4,0,0
399,Bjørkefink,wholeArea,2019,0.37056,0.41211999999999999,0.45737,-2.4299999999999999E-3,0,0
399,Bjørkefink,wholeArea,2024,0.48968,0.54649999999999999,0.60441,1.6199999999999999E-3,0,0
23,Blåbær,wholeArea,2010,0.55510999999999999,0.57665,0.59928999999999999,-1.16E-3,0,0
23,Blåbær,wholeArea,2014,0.60904999999999998,0.62675000000000003,0.64210999999999996,-1.1E-4,0,0
23,Blåbær,wholeArea,2019,0.71872999999999998,0.73995999999999995,0.76244999999999996,-9.7999999999999997E-4,0,0
23,Blåbær,wholeArea,2024,0.88,0.89500999999999997,0.90939000000000003,-2.7699999999999999E-3,0,0
16,Blåkveite,wholeArea,1990,0.53886000000000001,0.61814999999999998,0.70326999999999995,1.09E-3,0,0
16,Blåkveite,wholeArea,1995,0.46853,0.54364000000000001,0.63078000000000001,-1.16E-3,0,0
16,Blåkveite,wholeArea,2000,0.67123999999999995,0.75351000000000001,0.86319000000000001,-7.3499999999999998E-3,0,0
16,Blåkveite,wholeArea,2005,0.75234999999999996,0.83767999999999998,0.95042000000000004,-4.9500000000000004E-3,0,0
16,Blåkveite,wholeArea,2010,0.77212999999999998,0.88466,1,4.0000000000000002E-4,0,0
16,Blåkveite,wholeArea,2014,0.83713000000000004,0.9486,1,-3.5699999999999998E-3,0,0
16,Blåkveite,wholeArea,2019,0.78717999999999999,0.88861999999999997,1,-4.7800000000000004E-3,0,0
