habitat_id,protected_area_m2,overlap_layer,mpa_area_m2
seagrass_eelgrass_1898_BM00057477,905.6368111683591,protected_area,
seagrass_eelgrass_1899_BM00057478,235.80580241734182,protected_area,
seagrass_eelgrass_1903_BM00057482,134.71913626181134,protected_area,
seagrass_eelgrass_1904_BM00057483,101354.11837393604,protected_area,
seagrass_eelgrass_1907_BM00057486,8406.74124368413,protected_area,
seagrass_eelgrass_1924_BM00057503,2526.2613845225615,protected_area,
seagrass_eelgrass_1930_BM00057509,136624.13670502036,protected_area,
seagrass_eelgrass_1931_BM00057510,37727.75359312503,protected_area,
seagrass_eelgrass_1943_BM00057522,94146.19941720323,protected_area,
seagrass_eelgrass_1951_BM00057530,867.2976714840169,protected_area,
seagrass_eelgrass_1970_BM00057552,1641.634292236935,protected_area,
seagrass_eelgrass_1971_BM00057553,0.4974264292353421,protected_area,
seagrass_eelgrass_1972_BM00057554,9871.747843246158,protected_area,
seagrass_eelgrass_1973_BM00057555,1696.1758423941603,protected_area,
seagrass_eelgrass_1974_BM00057556,50131.483404844184,protected_area,
seagrass_eelgrass_2015_BM00057775,2883.282324855395,protected_area,
seagrass_eelgrass_2016_BM00057776,4583.531815620097,protected_area,
seagrass_eelgrass_2017_BM00057777,561.428738411921,protected_area,
seagrass_eelgrass_2018_BM00057778,5377.744466803928,protected_area,
seagrass_eelgrass_2025_BM00057785,721.67845727092,protected_area,
seagrass_eelgrass_2031_BM00057791,10090.968847725915,protected_area,
seagrass_eelgrass_2034_BM00057794,6069.543606230036,protected_area,
seagrass_eelgrass_2048_BM00057808,7689.560263161628,protected_area,
seagrass_eelgrass_2049_BM00057809,469.2046264176288,protected_area,
seagrass_eelgrass_2050_BM00057810,300.61168988089423,protected_area,
seagrass_eelgrass_2100_BM00057860,39243.792616341314,protected_area,
seagrass_eelgrass_2120_BM00057880,88882.14493454799,protected_area,
seagrass_eelgrass_2121_BM00057881,3798.502312422002,protected_area,
seagrass_eelgrass_2181_BM00058599,18757.521630507414,protected_area,
seagrass_eelgrass_2268_BM00058829,1564.2895750755745,protected_area,
seagrass_eelgrass_2295_BM00058856,5620.4939881249475,protected_area,
seagrass_eelgrass_2299_BM00058860,79457.5374165683,protected_area,
seagrass_eelgrass_2300_BM00058861,36435.1162530173,protected_area,
seagrass_eelgrass_2329_BM00058890,1920.6705741594956,protected_area,
seagrass_eelgrass_2330_BM00058891,41044.52401218058,protected_area,
seagrass_eelgrass_2336_BM00064709,33492.687902374884,protected_area,
seagrass_eelgrass_2338_BM00069668,412871.21785597433,protected_area,
seagrass_eelgrass_2370_BM00072797,1280.2796245528275,protected_area,
seagrass_eelgrass_2383_BM00072810,323.6773039695904,protected_area,
seagrass_eelgrass_2397_BM00075826,10.091116212899458,protected_area,
seagrass_eelgrass_2417_BM00075846,1385.8200694439618,protected_area,
seagrass_eelgrass_2425_BM00075854,6115.048124897201,protected_area,
seagrass_eelgrass_2475_BM00075904,1708.585475350382,protected_area,
seagrass_eelgrass_2476_BM00075905,1336.0378608147664,protected_area,
seagrass_eelgrass_2477_BM00075906,648.7097566218195,protected_area,
seagrass_eelgrass_2478_BM00075907,941.2348305249477,protected_area,
seagrass_eelgrass_2485_BM00075914,3937.768697782004,protected_area,
seagrass_eelgrass_2486_BM00075915,18.999683181541386,protected_area,
seagrass_eelgrass_2494_BM00075923,15949.029786703897,protected_area,
seagrass_eelgrass_2509_BM00075938,1018.116791192908,protected_area,
seagrass_eelgrass_2577_BM00076006,1343.2554473052646,protected_area,
seagrass_eelgrass_2586_BM00076015,9097.38469340893,protected_area,
seagrass_eelgrass_2622_BM00076051,72203.28505033563,protected_area,
seagrass_eelgrass_2623_BM00076052,157067.77595227584,protected_area,
seagrass_eelgrass_2626_BM00076055,29494.69415633234,protected_area,
seagrass_eelgrass_2642_BM00076071,144354.75433131226,protected_area,
seagrass_eelgrass_2757_BM00076186,1156.0735690145955,protected_area,
seagrass_eelgrass_2759_BM00076188,616.7987272056004,protected_area,
seagrass_eelgrass_2760_BM00076189,17994.973265622066,protected_area,
seagrass_eelgrass_2761_BM00076190,450.74327126002754,protected_area,
seagrass_eelgrass_2762_BM00076191,95.97309735776957,protected_area,
seagrass_eelgrass_2886_BM00078196,309435.77490377706,protected_area,
seagrass_eelgrass_2891_BM00078201,1775.316850045338,protected_area,
seagrass_eelgrass_2901_BM00082656,1238.5132861416341,protected_area,
seagrass_eelgrass_2901_BM00082656,300897.7031943422,protected_area,
seagrass_eelgrass_2902_BM00082657,14487.06140929728,protected_area,
seagrass_eelgrass_2906_BM00082661,66420.81663163759,protected_area,
seagrass_eelgrass_2906_BM00082661,43709.997007316604,protected_area,
seagrass_eelgrass_2907_BM00082662,58654.87943350827,protected_area,
seagrass_eelgrass_2916_BM00082671,416.0230122190942,protected_area,
seagrass_eelgrass_2921_BM00082676,252.93139536841898,protected_area,
seagrass_eelgrass_2923_BM00082678,4207.454532678888,protected_area,
seagrass_eelgrass_2926_BM00082681,7473.653010223707,protected_area,
seagrass_eelgrass_2949_BM00091483,203.80540138616382,protected_area,
seagrass_eelgrass_2970_BM00091504,499.2612037659087,protected_area,
seagrass_eelgrass_2994_BM00091528,1299.4440103336553,protected_area,
seagrass_eelgrass_3000_BM00091534,2136.37131664752,protected_area,
seagrass_eelgrass_3026_BM00091560,345.77915266784413,protected_area,
seagrass_eelgrass_3040_BM00091574,2329.8077183686773,protected_area,
seagrass_eelgrass_3051_BM00091585,1037.7375071718322,protected_area,
seagrass_eelgrass_3054_BM00091588,2310.911310446577,protected_area,
seagrass_eelgrass_3055_BM00091589,19339.18495041242,protected_area,
seagrass_eelgrass_3056_BM00091590,7233.198457329577,protected_area,
seagrass_eelgrass_3087_BM00104153,599.544044589071,protected_area,
seagrass_eelgrass_3164_BM00104230,564.6282245237685,protected_area,
seagrass_eelgrass_3164_BM00104230,8777.750030466588,protected_area,
seagrass_eelgrass_3263_BM00105297,1062.181054016051,protected_area,
seagrass_eelgrass_3270_BM00105304,3082.563809694244,protected_area,
seagrass_eelgrass_3292_BM00105326,24736.42059345395,protected_area,
seagrass_eelgrass_3337_BM00105371,8378.092275503806,protected_area,
seagrass_eelgrass_3373_BM00105407,30329.230363686987,protected_area,
seagrass_eelgrass_3374_BM00105408,66.64665090930997,protected_area,
seagrass_eelgrass_3397_BM00113202,18547.255113449886,protected_area,
seagrass_eelgrass_3411_BM00118992,28159.133115715813,protected_area,
seagrass_eelgrass_3412_BM00118993,2.5044500061608383,protected_area,
seagrass_eelgrass_3413_BM00118994,41.61230007968882,protected_area,
seagrass_eelgrass_3414_BM00118995,169.81485031283623,protected_area,
seagrass_eelgrass_3415_BM00118996,0.01586748219697895,protected_area,
seagrass_eelgrass_3543_BM00119124,72239.0170593494,protected_area,
seagrass_eelgrass_3553_BM00119134,12289.715624995726,protected_area,
seagrass_eelgrass_3561_BM00119142,4016.183821786907,protected_area,
seagrass_eelgrass_3576_BM00119157,6732.141462678934,protected_area,
seagrass_eelgrass_3576_BM00119157,19.662412723283126,protected_area,
seagrass_eelgrass_3577_BM00119158,143.8894170149035,protected_area,
