FID,id,the_geom,port,port_id,portcode,country,year,tonnagesize,nofvessels,gross_tonnage__gt_thousand,tonnageindex
portvesselsbytonnage.226712,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,300 000 gross tonnage or over,,,23
portvesselsbytonnage.226711,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 250 000 to 299 999 gross tonnage,,,22
portvesselsbytonnage.226710,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 200 000 to 249 999 gross tonnage,,,21
portvesselsbytonnage.226709,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 150 000 to 199 999 gross tonnage,,,20
portvesselsbytonnage.226708,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 100 000 to 149 999 gross tonnage,,,19
portvesselsbytonnage.226707,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 80 000 to 99 999 gross tonnage,,,18
portvesselsbytonnage.226706,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 50 000 to 79 999 gross tonnage,,,17
portvesselsbytonnage.226705,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 40 000 to 49 999 gross tonnage,,,16
portvesselsbytonnage.226704,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 30 000 to 39 999 gross tonnage,,,15
portvesselsbytonnage.226703,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 20 000 to 29 999 gross tonnage,,,14
portvesselsbytonnage.226702,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 10 000 to 19 999 gross tonnage,,,13
portvesselsbytonnage.226701,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 9 000 to 9 999 gross tonnage,,,12
portvesselsbytonnage.226700,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 8 000 to 8 999 gross tonnage,,,11
portvesselsbytonnage.226699,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 7 000 to 7 999 gross tonnage,,,10
portvesselsbytonnage.226698,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 6 000 to 6 999 gross tonnage,,,9
portvesselsbytonnage.226697,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 5 000 to 5 999 gross tonnage,,,8
portvesselsbytonnage.226696,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 4 000 to 4 999 gross tonnage,,,7
portvesselsbytonnage.226695,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 3 000 to 3 999 gross tonnage,,,6
portvesselsbytonnage.226694,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 2 000 to 2 999 gross tonnage,,,5
portvesselsbytonnage.226693,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 1 000 to 1 999 gross tonnage,,,4
