FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.1028,Norway,410592,Closed down,OSELVAR,Subsea steel,Subsea,,NO 1/3-6,Crude Oil,,,,20120414,,72,252921.047096,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (2.6711111000000756 56.933055600000046)
platforms.1031,Norway,359760,Operational,BYGGVE,Subsea steel,Subsea,TotalEnergies EP Norge AS,NO_25/5,Natural Gas,,,,20040301,,120,138072.895164,SINGLE WELL TEMPLATE; GAS PRODUCER,POINT (2.497202800000025 59.61767780000008)
platforms.1032,Norway,411354,Operational,GOLIAT I,,,Vår Energi ASA,,,,,,20160312,,327,47425.6241936,MULTI WELL TEMPLATE; WATER INJECTION,POINT (22.251172200000042 71.24244720000007)
platforms.1033,Norway,376822,Decommissioned,NAVION SAGA,Floating steel,Above water production,Lundin Energy Norway AS,NO_15/9,Crude Oil,,,,20080212,,90,192439.452098,FSU; OFFLOADING - STORAGE,POINT (1.9084528000000205 58.46135830000003)
platforms.1034,Norway,281157,Operational,EKOFISK BS3,Fixed steel,Above water production,ConocoPhillips Skandinavia AS,NO_2/4,Crude Oil,,,,19740101,,72,262873.847626,JACKET TRIPOD,POINT (3.214516700000047 56.54835280000003)
platforms.1036,Norway,278609,Operational,ÅSGARD L,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,19990520,,288,160162.974728,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (6.782694400000025 65.13825000000003)
platforms.1037,Norway,721563,Under construction,JOHAN SVERDRUP K,,,Equinor Energy AS,,,,,,,,109,143540.289085,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (2.570500000000038 58.74803060000005)
platforms.1039,Norway,404044,Operational,YME SLS,Other,Other,Repsol Norge AS,NO_9/2,Crude Oil,,,,20211025,,93,102303.896143,LOADING SYSTEM; OFFLOADING,POINT (4.557388900000035 57.82418330000007)
platforms.1040,Norway,426442,Operational,EKOFISK VB-T,Fixed steel,Subsea,ConocoPhillips Skandinavia AS,NO_2/4,Crude Oil,,,,20130516,,73,269025.259571,SUBSEA STRUCTURE; T-CONNECTION,POINT (3.1775167000000692 56.49496940000006)
platforms.1041,Norway,285245,Operational,6407/7-A-8 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73808.4136225,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.202411100000063 64.27090280000004)
platforms.1043,Norway,360488,Operational,KRISTIN N,Subsea steel,Subsea,Equinor Energy AS,NO_6506/11,Natural Gas,,,,20051103,,368,158717.300245,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (6.47960560000007 65.02811110000005)
platforms.1044,Norway,282613,Operational,ÅSGARD ERB,Subsea steel,Other,Gassco AS,NO_6506/12,,,,,20001001,,305,156795.340592,SUBSEA STRUCTURE; RISER BASE,POINT (6.799052800000027 65.10668610000005)
platforms.1045,Norway,374139,Operational,OSEBERG DELTA,Subsea steel,Subsea,Equinor Energy AS,NO_30/9,Crude Oil,,,,20080627,,101,113585.211646,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (2.6815944000000513 60.468119400000035)
platforms.1048,Norway,407790,Operational,VEGA NORD,Subsea steel,Subsea,Wintershall Dea Norge AS,NO_35/8,Natural Gas,,,,20101202,,377,64422.4104869,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (3.3768917000000442 61.371172200000046)
platforms.1049,Norway,403356,Operational,GJØA C,Subsea steel,Subsea,Neptune Energy Norge AS,NO_35/9,Crude Oil,,,,20101107,,350,33119.2640602,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (3.9583472000000484 61.340841700000055)
platforms.1052,Norway,451762,Operational,JOHAN SVERDRUP P1,,,Equinor Energy AS,,,,,,20191005,,113.40000153,140663.298049,JACKET 8 LEGS; DISTRIBUTION - PROCESSING - SEPARATION,POINT (2.5502778000000603 58.83662780000003)
platforms.1055,Norway,286645,Operational,37/4-BP,Subsea steel,Subsea,ConocoPhillips Skandinavia AS,UK_10037/4,,,,,19870101,,85,204028.466741,SUBSEA STRUCTURE; BYPASS,POINT (1.612222200000076 55.90016110000005)
platforms.1057,Norway,277769,Closed down,34/10-A-9 H,Subsea steel,Subsea,Equinor Energy AS,NO_34/10,Crude Oil,,,,19880515,,136,127717.2737,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.1492889000000446 61.17672780000004)
platforms.1058,Norway,280177,Decommissioned,DRAUGEN FLP,Other,Other,OKEA ASA,NO_6407/9,Crude Oil,,,,19931019,,258,58893.3378672,LOADING SYSTEM; OFFLOADING,POINT (7.840694400000075 64.34700000000004)
platforms.1059,Norway,286617,Operational,VESLEFRIKK T,Subsea steel,Subsea,Gassco AS,NO_30/6,,,,,19910901,,110,99423.2911294,SUBSEA STRUCTURE; T-CONNECTION,POINT (2.8980556000000206 60.560536100000036)
platforms.1061,Norway,284153,Operational,6407/9-E-2 H,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,20021130,,293,54938.7561929,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.730861100000027 64.26201940000004)
platforms.1062,Norway,717185,Operational,16/1-CA ROLVSNES,,,Lundin Energy Norway AS,,,,,,20210630,,106,156624.422047,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.2706111000000533 58.814302800000064)
platforms.1063,Norway,278049,Operational,HEIDRUN B,Subsea steel,Subsea,Equinor Energy AS,NO_6507/7,Crude Oil,,,,19950815,,339,160744.848972,MULTI WELL TEMPLATE; WATER INJECTION,POINT (7.2625000000000455 65.31277780000005)
platforms.1065,Norway,409166,Operational,EKOFISK VA,Subsea steel,Subsea,ConocoPhillips Skandinavia AS,NO_2/4-2,Crude Oil,,,,20100430,,73,263884.047073,MULTI WELL TEMPLATE; WATER INJECTION,POINT (3.2120056000000545 56.53813330000003)
platforms.1066,Norway,435244,Operational,6407/9-G-1 H,,,OKEA ASA,,,,,,20141101,,259,62552.9796359,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.717750000000024 64.34640830000006)
platforms.1067,Norway,283761,Operational,6407/7-A-9 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73802.4457396,SINGLE WELL TEMPLATE; GAS INJECTION - OIL PRODUCER,POINT (7.202638900000068 64.27094440000008)
