FID,id,the_geom,port,port_id,portcode,country,year,tonnagesize,nofvessels,gross_tonnage__gt_thousand,tonnageindex
portvesselsbytonnage.157829,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 4 000 to 4 999 gross tonnage,21,92,7
portvesselsbytonnage.157828,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 3 000 to 3 999 gross tonnage,,,6
portvesselsbytonnage.157827,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 2 000 to 2 999 gross tonnage,,,5
portvesselsbytonnage.157826,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 1 000 to 1 999 gross tonnage,,,4
portvesselsbytonnage.157825,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 500 to 999 gross tonnage,,,3
portvesselsbytonnage.157824,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 100 to 499 gross tonnage,,,2
portvesselsbytonnage.157841,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,Total,32,233,0
portvesselsbytonnage.159036,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 10 000 to 19 999 gross tonnage,,,13
portvesselsbytonnage.159035,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 9 000 to 9 999 gross tonnage,9,86,12
portvesselsbytonnage.159034,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 8 000 to 8 999 gross tonnage,,,11
portvesselsbytonnage.159033,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 7 000 to 7 999 gross tonnage,18,135,10
portvesselsbytonnage.159032,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 6 000 to 6 999 gross tonnage,21,140,9
portvesselsbytonnage.159031,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 5 000 to 5 999 gross tonnage,4,23,8
portvesselsbytonnage.159030,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 4 000 to 4 999 gross tonnage,53,230,7
portvesselsbytonnage.159029,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 3 000 to 3 999 gross tonnage,12,48,6
portvesselsbytonnage.159028,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 2 000 to 2 999 gross tonnage,8,20,5
portvesselsbytonnage.159027,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 1 000 to 1 999 gross tonnage,1,2,4
portvesselsbytonnage.159026,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 500 to 999 gross tonnage,749,442,3
portvesselsbytonnage.159025,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,From 100 to 499 gross tonnage,453,204,2
portvesselsbytonnage.159037,133,POINT (12.482910156000116 55.601074219000054),Avedøreværkets Havn,DKAVE,DK_0DKAVE,DK,2025,Total,1328,1330,0
portvesselsbytonnage.159686,137,POINT (9.030883789000086 56.80047607400007),Branden Havn,DKBRH,DK_0DKBRH,DK,2025,From 100 to 499 gross tonnage,19656,8523,2
portvesselsbytonnage.159687,137,POINT (9.030883789000086 56.80047607400007),Branden Havn,DKBRH,DK_0DKBRH,DK,2025,Total,19656,8523,0
portvesselsbytonnage.164158,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 150 000 to 199 999 gross tonnage,41,7486,20
portvesselsbytonnage.164157,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 100 000 to 149 999 gross tonnage,47,5985,19
portvesselsbytonnage.164156,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 80 000 to 99 999 gross tonnage,39,3632,18
portvesselsbytonnage.164155,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 50 000 to 79 999 gross tonnage,76,5093,17
portvesselsbytonnage.164154,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 40 000 to 49 999 gross tonnage,149,6073,16
portvesselsbytonnage.164153,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 30 000 to 39 999 gross tonnage,144,5110,15
portvesselsbytonnage.164152,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 20 000 to 29 999 gross tonnage,22,561,14
portvesselsbytonnage.164151,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 10 000 to 19 999 gross tonnage,93,1394,13
portvesselsbytonnage.164150,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 9 000 to 9 999 gross tonnage,92,914,12
portvesselsbytonnage.164149,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 8 000 to 8 999 gross tonnage,7,62,11
portvesselsbytonnage.164148,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 7 000 to 7 999 gross tonnage,10,76,10
portvesselsbytonnage.164147,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 6 000 to 6 999 gross tonnage,26,172,9
portvesselsbytonnage.164146,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 5 000 to 5 999 gross tonnage,31,170,8
portvesselsbytonnage.164145,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 4 000 to 4 999 gross tonnage,85,374,7
portvesselsbytonnage.164144,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 3 000 to 3 999 gross tonnage,131,485,6
portvesselsbytonnage.164143,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 2 000 to 2 999 gross tonnage,217,570,5
portvesselsbytonnage.164142,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 1 000 to 1 999 gross tonnage,49,78,4
portvesselsbytonnage.164141,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 500 to 999 gross tonnage,113,100,3
portvesselsbytonnage.164140,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,From 100 to 499 gross tonnage,57,26,2
portvesselsbytonnage.164139,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,Less than 100 gross tonnage,,,1
portvesselsbytonnage.164159,138,POINT (12.615386982000132 55.69781321700003),Københavns Havn,DKCPH,DK_0DKCPH,DK,2025,Total,1429,38359,0
portvesselsbytonnage.164332,139,POINT (12.677917480000076 55.59149169899996),Dragør,DKDRA,DK_0DKDRA,DK,2025,From 5 000 to 5 999 gross tonnage,,,8
portvesselsbytonnage.164331,139,POINT (12.677917480000076 55.59149169899996),Dragør,DKDRA,DK_0DKDRA,DK,2025,From 2 000 to 2 999 gross tonnage,,,5
portvesselsbytonnage.164333,139,POINT (12.677917480000076 55.59149169899996),Dragør,DKDRA,DK_0DKDRA,DK,2025,Total,,,0
portvesselsbytonnage.167499,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 50 000 to 79 999 gross tonnage,17,906,17
portvesselsbytonnage.167498,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 40 000 to 49 999 gross tonnage,1,50,16
portvesselsbytonnage.167497,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 30 000 to 39 999 gross tonnage,172,5703,15
portvesselsbytonnage.167496,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 20 000 to 29 999 gross tonnage,85,2003,14
portvesselsbytonnage.167495,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 10 000 to 19 999 gross tonnage,112,1369,13
portvesselsbytonnage.167494,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 9 000 to 9 999 gross tonnage,31,302,12
portvesselsbytonnage.167493,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 8 000 to 8 999 gross tonnage,25,214,11
portvesselsbytonnage.167492,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 7 000 to 7 999 gross tonnage,38,274,10
portvesselsbytonnage.167491,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 6 000 to 6 999 gross tonnage,44,291,9
portvesselsbytonnage.167490,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 5 000 to 5 999 gross tonnage,23,129,8
portvesselsbytonnage.167489,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 4 000 to 4 999 gross tonnage,58,250,7
portvesselsbytonnage.167488,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 3 000 to 3 999 gross tonnage,146,531,6
portvesselsbytonnage.167487,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 2 000 to 2 999 gross tonnage,93,240,5
portvesselsbytonnage.167486,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 1 000 to 1 999 gross tonnage,189,294,4
portvesselsbytonnage.167485,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 500 to 999 gross tonnage,12968,10331,3
portvesselsbytonnage.167484,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,From 100 to 499 gross tonnage,2,0,2
portvesselsbytonnage.167483,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,Less than 100 gross tonnage,,,1
portvesselsbytonnage.167500,140,POINT (8.424316406000003 55.468872070000145),Esbjerg,DKEBJ,DK_0DKEBJ,DK,2025,Total,14004,22887,0
