FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.776,Norway,287289,Operational,GULLFAKS T,Subsea steel,Subsea,Gassco AS,NO_34/10,,,,,20010201,,136,134261.025785,SUBSEA STRUCTURE; T-CONNECTION,POINT (2.016266700000074 61.096330600000044)
platforms.777,Norway,428267,Operational,24/6-B-5 Alvheim,,,Aker BP ASA,,,,,,20121201,,124,164671.884632,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.9897028000000319 59.54613610000007)
platforms.779,Norway,424989,Operational,VISUND NORD ITS,Fixed steel,Subsea,Equinor Energy AS,NO_34/8,Crude Oil,,,,20131105,,378,106992.20977,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (2.58912220000002 61.43502780000006)
platforms.1080,Norway,719936,Under construction,25/11 M4W BALDER,,,Vår Energi ASA,,,,,,,,125,144834.416211,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.3175556000000483 59.16563610000003)
platforms.780,Norway,281745,Operational,OSEBERG SØR J,Subsea steel,Subsea,Equinor Energy AS,NO_30/9,Crude Oil,,,,20050615,,101,105250.796782,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,POINT (2.9000778000000764 60.354488900000035)
platforms.781,Norway,285665,Operational,31/2-F-5 H TROLL F-5,Subsea steel,Subsea,Equinor Energy AS,NO_31/2,,,,,19950923,,317,65236.0485643,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.4241389000000595 60.76672220000006)
platforms.782,Norway,442024,Operational,IVAR AASEN,,,Aker BP ASA,,,,,,20161224,,113,156825.937106,JACKET 4 LEGS; PROCESSING - QUARTER - WELLHEAD,POINT (2.1981250000000614 58.92226940000006)
platforms.786,Norway,439911,Operational,GULLFAKS OLS-2,,,Equinor Energy AS,NO_34/10,Crude Oil,,,,20140915,,136,123304.442654,LOADING SYSTEM; LOADING BOUY,POINT (2.2297278000000347 61.16725280000003)
platforms.789,Norway,286589,Decommissioned,STATFJORD-B-SPM,Other,Other,Equinor Energy AS,NO_33/12,Crude Oil,,,,19821105,,145,145101.133514,LOADING SYSTEM,POINT (1.8308333000000516 61.206944400000054)
platforms.790,Norway,450712,Operational,UTGARD,,,Equinor Energy AS,,,,,,20190916,,115,215830.074898,MULTI WELL TEMPLATE; GAS PRODUCER - WATER PRODUCER,POINT (1.550463900000068 58.36674440000007)
platforms.794,Norway,281549,Operational,34/7-I-10 H TORDIS I-10,Subsea steel,Subsea,Equinor Energy AS,NO_34/7,Crude Oil,,,,19991101,,200,130927.663295,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.1193278000000646 61.276297200000045)
platforms.795,Norway,720966,Under construction,JOHAN SVERDRUP P2,,,Equinor Energy AS,,,,,,,,114,140079.091642,JACKET 8 LEGS; PROCESSING,POINT (2.560383300000069 58.83765280000006)
platforms.796,Norway,281661,Operational,34/7-I-11 H TORDIS I-11,Subsea steel,Subsea,Equinor Energy AS,NO_34/7,Crude Oil,,,,19990101,,200,130924.194056,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.1193444000000454 61.276172200000076)
platforms.799,Norway,284685,Operational,6407/7-A-1 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73848.2951898,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (7.201522200000056 64.27098610000007)
platforms.802,Norway,729378,Operational,24/9-P-10 H,,,Aker BP ASA,,,,,,20170801,,123,165130.797348,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.967430600000057 59.49513610000008)
platforms.804,Norway,429693,Operational,24/9-P-6 AH Volund,Subsea steel,Subsea,Aker BP ASA,NO_24/7,Natural Gas,,,,20130124,,124,165234.876139,SINGLE WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (1.96576390000007 59.49590280000007)
platforms.805,Norway,434584,Operational,KNARR B,,,A/S Norske Shell,,,,,,20150316,,403,104140.224169,MULTI WELL TEMPLATE; WATER INJECTION,POINT (2.7469028000000435 61.79603060000005)
platforms.806,Norway,363581,Operational,GRANE SSIV,Subsea steel,Subsea,Equinor Energy AS,NO_25/11,,,,,20030923,,127,135168.178303,SUBSEA STRUCTURE; ISOLATION VALVE,POINT (2.4872806000000196 59.16741390000004)
platforms.807,Norway,272813,Decommissioned,GULLFAKS A-SPM 1,Other,Other,Equinor Energy AS,NO_34/10,Crude Oil,,,,19861221,,136,127443.975815,LOADING SYSTEM; OFFLOADING,POINT (2.157819400000051 61.19145000000003)
platforms.809,Norway,435781,Operational,BØYLA,,,Aker BP ASA,,,,,,20150119,,120,171701.218116,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,POINT (1.830883300000039 59.34315830000003)
platforms.810,Norway,391161,Operational,6407/9-D-3 H,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,20080927,,254,63938.1141555,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.71272220000003 64.36088890000008)
platforms.811,Norway,451051,Under construction,BAUGE,,,Equinor Energy AS,,,,,,20201201,,282,71161.3792573,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (7.461630600000035 64.35504720000006)
platforms.813,Norway,727915,Operational,24/6-B-6 KIS,,,Aker BP ASA,,,,,,20181001,,124,164758.863775,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.9880583000000343 59.54585560000004)
platforms.814,Norway,284769,Operational,6407/7-A-11 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73820.7682698,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.202416700000072 64.27108890000005)
platforms.815,Norway,283061,Operational,34/8-A-25 H/AH,Subsea steel,Subsea,Equinor Energy AS,NO_34/8,Crude Oil,,,,20030101,,335,113217.507566,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.4596306000000254 61.37005560000006)
platforms.816,Norway,287625,Operational,VESTERLED T,Subsea steel,Subsea,Gassco AS,UK_10009/12,,,,,20011001,,100,141323.986277,SUBSEA STRUCTURE; T-CONNECTION,POINT (1.318975000000023 59.64331390000007)
platforms.817,Norway,375130,Operational,25/4-J-2 H,Subsea steel,Subsea,Aker BP ASA,NO_25/4,Crude Oil,,,,20080608,,123,161509.115051,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.058555600000034 59.581561100000044)
platforms.818,Norway,283845,Closed down,25/11-B-14 H BALDER,,,Vår Energi ASA,,,,,,19991004,,127,141167.550071,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.3794028000000367 59.17854170000004)
platforms.819,Norway,287597,Operational,TOR II Y,Subsea steel,Subsea,Equinor Energy AS,NO_32/1,,,,,20041001,,340,30891.8578676,SUBSEA STRUCTURE; Y-CONNECTION,POINT (4.060277800000051 60.84895830000005)
platforms.822,Norway,449669,Operational,JOHAN SVERDRUP G,,,Equinor Energy AS,,,,,,20191005,,120,138340.260371,MULTI WELL TEMPLATE; WATER INJECTION,POINT (2.6528333000000544 58.76681670000005)
platforms.823,Norway,272533,Decommissioned,ØST FRIGG B,Subsea steel,Subsea,Aker BP ASA,NO_25/2,Natural Gas,,,,19881001,,112,148116.200483,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (2.3619278000000463 59.890666700000054)
platforms.827,Norway,286449,Operational,UK-NL,Subsea steel,Subsea,Equinor Energy AS,UK_10211/24,Crude Oil,,,,19851001,,44.20000076,136617.702176,SUBSEA STRUCTURE; T-CONNECTION,POINT (1.65942780000006 61.16748330000007)
platforms.830,Norway,286785,Operational,HEIDRUN PLEM-1,Subsea steel,Subsea,Equinor Energy AS,NO_6507/8,,,,,19951019,,343,155811.582777,SUBSEA STRUCTURE; PIPELINE END MANIFOLD,POINT (7.378411100000051 65.32173060000008)
platforms.832,Norway,441635,Operational,GULLFAKS SØR Q,,,Equinor Energy AS,,,,,,20160829,,140,129362.72696,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (2.105950000000064 61.070227800000055)
platforms.834,Norway,272785,Closed down,34/10-A-5 H,Subsea steel,Subsea,Equinor Energy AS,NO_34/10,Crude Oil,,,,19870404,,136,124454.298813,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.2106750000000375 61.178369400000065)
platforms.835,Norway,417223,Operational,VIGDIS H,Fixed steel,Subsea,Equinor Energy AS,NO_34/7,Crude Oil,,,,20130311,,291,130328.832391,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,POINT (2.141213900000025 61.38925830000005)
platforms.837,Norway,283509,Operational,MIKKEL A,Subsea steel,Subsea,Equinor Energy AS,NO_6407/6,Natural Gas,,,,20031001,,220,97903.7237503,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (7.680722200000048 64.71261940000005)
platforms.840,Norway,279337,Operational,NORNE F,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,19980702,,380,152548.407793,MULTI WELL TEMPLATE; WATER INJECTION,POINT (8.100072200000056 66.04474720000007)
platforms.846,Norway,461086,Closed down,LAVRANS,,,Equinor Energy AS,,,,,,,,270,141052.300333,MULTI WELL TEMPLATE; DRILLING TEMPLATE,POINT (6.5593472000000475 64.84849440000005)
platforms.847,Norway,278553,Operational,ÅSGARD F,Subsea steel,Subsea,Equinor Energy AS,NO_6506/11,Natural Gas,,,,19990520,,300,155235.644537,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (6.60125000000005 65.02952780000004)
platforms.851,Norway,282697,Operational,34/8-A-2 H,Subsea steel,Subsea,Equinor Energy AS,NO_34/8,Crude Oil,,,,19990526,,335,113212.88696,SINGLE WELL TEMPLATE; GAS INJECTION,POINT (2.4597361000000433 61.37021940000005)
platforms.852,Norway,441304,Under construction,34/4-I-1 H SNORRE,,,Equinor Energy AS,,,,,,,,350,102459.134723,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.62086110000007 61.17141390000006)
platforms.853,Norway,434044,Operational,ROGN SØR MANIFOLD,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,20131201,,293,55077.6010688,SUBSEA STRUCTURE; MANIFOLD STATION,POINT (7.729600000000062 64.26316390000005)
platforms.854,Norway,277993,Operational,STATFJORD ØST L,Subsea steel,Subsea,Equinor Energy AS,NO_33/9,Crude Oil,,,,19941004,,153,138379.711914,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (1.9865222000000244 61.32940280000008)
platforms.856,Norway,285609,Operational,31/2-F-1 H TROLL F-1,Subsea steel,Subsea,Equinor Energy AS,NO_31/2,,,,,19961019,,317,64165.464859,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.4358861000000616 60.77678890000004)
platforms.857,Norway,283649,Under construction,HEIDRUN F,Subsea steel,Subsea,Equinor Energy AS,NO_6507/8,Crude Oil,,,,,,358.1000061,158316.590631,MULTI WELL TEMPLATE; WATER INJECTION,POINT (7.35703060000003 65.36943890000003)
